GENEID,N1,N2,N3,R1,R2,R3,R4,R5
140711,8.5081,8.9174,8.8475,2.8335,2.6159,2.7055,2.7441,3.6654
100129034,9.1381,9.208,9.2461,3.8506,3.2212,3.3055,3.0874,3.2036
25884,9.265,8.1389,8.3595,2.8335,2.3406,2,4.053,3.0607
2713,2.5252,2,2.379,8.4389,8.4606,8.0251,7.6835,8.1172
8968,2,2,2,7.4511,7.0539,8.039,8.2591,8.2672
2273,10.0743,13.426,13.3853,6.7444,7.1106,6.5151,6.7956,6.7926
54490,4.4882,2,2,9.8737,9.9345,5.5512,5.416,5.2435
4537,12.1203,11.2999,11.2758,5.7837,5.9428,5.6268,6.1042,5.2762
4537,12.1203,11.2999,11.2758,5.7837,5.9428,5.6268,6.1042,5.2762
9201,6.75,8.9724,8.9244,3.0304,2.6159,2,2.536,2.5204
28825,8.3423,8.4164,8.4012,2.8335,2.6159,2.5064,2,2.9021
27329,2,2,2,8.1679,8.0553,7.5687,7.7332,7.5759
4915,7.1124,8.9452,8.9029,2.6053,2,3.4233,2.2928,2.9021
8351,2,2.3708,2,7.6956,7.7687,8.2044,8.0595,7.98
8436,8.3732,10.9146,10.8801,4.9592,4.5343,4.1935,4.4593,4.0902
25932,11.3326,12.7036,12.6639,6.7584,6.5627,6.2541,6.6737,6.1299
346007,3.8618,2.6656,2.6788,9.3818,9.4913,8.3304,8.305,8.425
4018,2.5252,3.1193,2.379,9.5677,9.5823,7.1574,7.261,7.2938
100033413,2,2,2,7.9172,7.9159,7.7711,7.7086,7.7835
677838,3.6761,3.3019,2.9269,8.7035,8.6712,9.2752,9.3525,9.3813
85235,2.5252,2.6656,2,8.1468,8.0952,8.2999,8.2926,8.1307
100133331,3.6761,3.8631,4.2032,10.3256,10.391,9.0533,9.2042,9.1136
10290,6.18,9.6671,9.7951,5.5468,5.251,2.5064,2.536,2.5204
8344,2,2.6656,2,6.989,7.1436,8.4532,8.4345,8.4575
2318,8.5323,12.5368,12.5029,6.7017,7.1327,5.4985,5.5606,5.3395
28878,2.73,8.952,9.0042,5.5468,5.8393,2,2.2928,2
91663,9.2855,11.6258,11.7404,5.9389,4.8857,5.6268,4.9541,5.1757
284047,5.8473,5.1561,4.7459,11.5788,11.5767,10.537,10.5443,10.463
643529,7.7229,7.81,8.0681,2,2,2.5064,2,2
2780,2.5252,2,2,7.4935,8.0262,8.0664,8.1673,7.8664
283383,7.1215,10.0535,10.1313,3.3584,2.6159,4.3799,3.8874,4.3581
80000,2.9094,2,2.6788,7.3441,7.5319,8.7094,8.7621,8.5772
125,9.5399,11.6161,11.6128,4.91,4.9367,5.6751,5.6408,5.4583
9021,10.3071,12.1188,12.1138,6.6725,6.256,5.4156,5.4461,5.7881
3502,11.9875,12.0908,12.4867,8.1146,8.0611,4.6929,6.5124,6.7112
151887,11.2128,13.2324,13.1962,7.3986,6.8426,6.9276,6.6737,6.8371
1845,9.6715,10.897,10.9536,5.412,5.2908,4.7838,4.2704,4.5307
441457,2,2.6656,2.379,8.6706,8.6599,7.4627,7.7871,7.4453
8338,2.5252,2,2,7.6439,8.1503,7.8986,7.9482,7.8502
7276,2,2.9102,2,2.6053,3.0462,8.2167,8.1718,8.2048
2619,7.1839,8.2652,7.9398,2,2,2,2,2.5204
100033433,2,2,2,8.0251,7.9782,7.4967,7.4361,7.5954
100033432,2.73,2.6656,2.9269,8.867,8.7121,8.241,8.2802,8.2753
619499,2.2864,3.1193,2.6788,8.8443,8.8583,8.2003,7.9482,7.8338
780854,2,2.3708,2.9269,9.1552,7.8707,8.0574,7.3827,7.6464
341350,2.73,2,2,9.2019,9.1182,3.9004,4.2015,3.3336
2571,4.2426,2.6656,2,7.8793,7.9286,8.9808,8.8004,8.8294
375346,8.3617,7.9938,8.1977,3.3584,2.3406,2,2.7441,2.2836
26818,2.5252,2,2,8.048,8.0379,7.7029,7.7871,7.6712
1087,8.2907,8.6406,8.734,6.9651,7.5319,2.5064,2.9259,2
246126,7.1925,7.6592,7.5809,3.0304,2.6159,9.9654,9.9172,9.7795
27299,9.6559,9.1526,9.0573,4.217,5.4399,3.4233,3.3645,2.7239
22875,8.0867,8.4555,8.6196,7.6439,7.6282,2.5064,2.9259,2
57291,8.0102,7.6168,7.904,2,2,2.7055,2,2.2836
55970,10.61,11.2803,11.2814,5.5786,5.8393,5.1682,5.6919,4.91
266655,7.3484,7.967,7.6429,2,2,2,2,2
635,6.6526,2.3708,2,5.0068,5.168,9.0983,9.1685,9.025
635,6.6526,2.3708,2,5.0068,5.168,9.0983,9.1685,9.025
100506548,8.1416,7.9466,8.0354,2.6053,2,2.7055,2.7441,2
283455,6.906,2,2,6.7584,6.9334,8.9998,9.0681,9.0056
6044,2.9094,3.1193,2.379,8.5949,8.6561,8.1754,8.4194,8.3502
1117,8.7685,8.7664,8.8956,3.0304,3.2212,3.5322,2.7441,3.3336
677809,3.0689,3.1193,3.6336,8.4858,8.389,9.2314,9.1798,9.1249
387254,2.9094,2.9102,2.6788,8.1887,8.2992,8.5208,8.8178,8.5134
6318,7.3328,8.335,8.3383,6.8783,6.8018,2,2,2
116535,7.4093,9.2391,9.2828,2.6053,3.6462,3.1772,2.9259,3.3336
3501,12.3288,12.243,11.9372,9.2372,8.8943,5.0632,5.3853,7.98
100170229,2.9094,2.3708,2.9269,7.9959,7.8509,8.5307,8.6075,8.7148
191585,2.9094,2,2.6788,9.1942,9.056,7.2639,6.8416,7.1334
200030,7.2767,7.1651,6.7937,11.9708,11.9857,13.0686,13.0923,13.0797
81575,6.7381,10.2329,10.1328,4.1337,3.518,3.8168,3.9726,3.5631
253039,8.4035,8.0266,8.1251,2,2.6159,2.8805,2.9259,2.5204
6204,3.5734,2.6656,2.6788,8.1362,8.1395,8.7551,8.8603,8.8322
28775,10.3417,6.0977,6.4214,4.0454,4.1575,2,2,2
57863,4.6483,8.5443,8.552,2.3342,2.3406,2,2,2
149013,7.7701,7.4718,7.5899,12.5803,12.5048,13.6166,13.5347,13.6028
5023,7.0468,10.9381,10.9658,4.1337,4.1575,5.0632,4.7278,4.7791
550643,8.096,8.0962,8.0616,3.0304,2.847,2.7055,2,2
219,8.7421,11.2403,11.2987,4.4413,4.6611,5.0265,5.6146,5.67
8639,9.2895,11.4622,11.5072,5.2236,4.6611,5.3277,5.7891,5.7184
100506365,8.155,7.8546,7.9747,3.0304,2.6159,2,2,2.5204
654319,2.73,2.6656,2,7.9172,7.9964,8.0619,8.0788,8.1834
9457,6.8847,8.0838,8.3167,2.6053,2.6159,2,2,2
4256,11.5332,13.0031,13.0296,7.1137,7.0069,7.0967,7.0222,6.7698
83742,8.8255,10.2315,10.2313,4.7515,4.2412,3.9004,4.4593,3.9349
4117,3.772,3.1193,4.1059,9.3636,9.2552,9.1696,9.2539,9.1226
8347,3.772,3.9749,4.4611,9.6087,9.5843,9.7285,9.6527,9.6699
8347,3.772,3.9749,4.4611,9.6087,9.5843,9.7285,9.6527,9.6699
441478,6.5882,8.3454,8.2837,4.0454,2,2,2,2
3851,6.4788,6.6793,6.4613,9.2982,9.2401,2.5064,3.0874,2
3851,6.4788,6.6793,6.4613,9.2982,9.2401,2.5064,3.0874,2
7512,5.8026,8.0962,8.2669,2,2,2,2,2
1579,2,2,2.379,8.1835,7.9536,7.4349,7.2778,7.4738
286464,3.6761,2,2,9.3705,9.4078,5.3576,4.6779,5.2435
6690,11.1168,6.8503,6.7461,11.9017,11.8853,13.7031,13.6522,13.6733
